Question,Answer
Where does psoriasis show up?,"['Psoriasis often shows up on places like your: Elbows Knees Scalp and face Lower back Palms of your hands Soles of your feet You may also have patches on other areas, such as: Fingernails and toenails Mouth and lips Eyelids Ears Skin folds Eczema usually results from things that irritate your skin, like: Soaps Detergents Disinfectants Juices from produce or meats Things that cause allergies can also set off eczema, like: Dust Pets Pollen Mold Dandruff Some foods Infections can start up eczema, and so can stress, sweating, heat, humidity, and changes in your hormones.']"
Is eczema linked to any other conditions?,"['If you have it, you may also have diabetes, heart disease, or depression.']"
What conditions are linked to eczema?,"['If you have it, you may also have diabetes, heart disease, or depression.']"
Where does eczema show up?,"['You can have it on your neck, wrists, and ankles. Babies sometimes get it on their chin, cheeks, scalp, chest, back, arms, and legs. Psoriasis often shows up on places like your: Elbows Knees Scalp and face Lower back Palms of your hands Soles of your feet You may also have patches on other areas, such as: Fingernails and toenails Mouth and lips Eyelids Ears Skin folds Eczema usually results from things that irritate your skin, like: Soaps Detergents Disinfectants Juices from produce or meats Things that cause allergies can also set off eczema, like: Dust Pets Pollen Mold Dandruff Some foods Infections can start up eczema, and so can stress, sweating, heat, humidity, and changes in your hormones.']"
Can things that cause allergies set off eczema?,"['Psoriasis often shows up on places like your: Elbows Knees Scalp and face Lower back Palms of your hands Soles of your feet You may also have patches on other areas, such as: Fingernails and toenails Mouth and lips Eyelids Ears Skin folds Eczema usually results from things that irritate your skin, like: Soaps Detergents Disinfectants Juices from produce or meats Things that cause allergies can also set off eczema, like: Dust Pets Pollen Mold Dandruff Some foods Infections can start up eczema, and so can stress, sweating, heat, humidity, and changes in your hormones.']"
What does eczema look like?,"['Both are skin conditions with similar symptoms, but there are ways to tell them apart. It can also cause swelling. They may be silvery and scaly -- and raised up high. But if you look closely, the skin is thicker and more inflamed than with eczema.']"
How does an enzyme inhibitor help treat psoriasis?,"[""The medication apremilast ( Otezla) is a new kind of drug for long-term inflammatory diseases like psoriasis and psoriatic arthritis. It's a pill that works by blocking a specific enzyme, which helps to slow other reactions that lead to inflammation.""]"
How do you know if you have psoriasis?,"['Your doctor will select a treatment plan that is right for you based on the size of your rash, where it is on your body, your age, your overall health, and other things.']"
How is psoriasis treated?,"['Some things that can trigger outbreaks are: Cuts, scrapes, or surgery Emotional stress Strep infections Luckily, there are many treatments. Some slow the growth of new skin cells, and others relieve itching and dry skin. Your doctor will select a treatment plan that is right for you based on the size of your rash, where it is on your body, your age, your overall health, and other things. Common treatments include: Steroid creams Moisturizers for dry skin Coal tar (a common treatment for scalp psoriasis; available in lotions, creams, foams, shampoos, and bath solutions) Vitamin D cream (a strong kind ordered by your doctor; vitamin D in foods and pills has no effect) Retinoid creams Treatments for moderate to severe cases of psoriasis include: Light therapy.']"
How do retinoids help treat psoriasis?,"[""These pills, creams, foams, and gels are a class of drugs related to Vitamin A. Retinoids can cause serious side effects, including birth defects, so they're not recommended for women who are pregnant or planning to have children.""]"
How do biologic treatments help treat psoriasis?,"[""These work by blocking the body's immune system (which is over-active in psoriasis) to better control the systemic inflammation associated with psoriasis. Biologic medications include adalimumab ( Humira), brodalumab ( Siliq), etanercept ( Enbrel), guselkumab ( Tremfya), infliximab ( Remicade), ixekizumab ( Taltz), risankizumab-rzaa ( SKYRIZI), secukinumab ( Cosentyx), and ustekinumab ( Stelara).""]"
How do I know if I have psoriasis?,"[""If you have a rash that isn't healing, see your doctor.""]"
How does psoriasis occur?,"[""It usually appears in early adulthood. For most people, it affects just a few areas. In severe cases, it can cover large parts of the body. The rashes can heal and then come back throughout a person's life.""]"
What things trigger an outbreak of psoriasis?,"['Some things that can trigger outbreaks are: Cuts, scrapes, or surgery Emotional stress Strep infections Luckily, there are many treatments.']"
